DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
19-Aug-2025,EQ,"540.00","556.00","538.60","537.80","556.00","555.00","549.21","1,001.25","529.20",1151826,"63,25,96,253.55",24579
18-Aug-2025,EQ,"535.15","541.00","534.10","531.80","539.00","537.80","538.08","1,001.25","529.20",612703,"32,96,85,950.00",16899
14-Aug-2025,EQ,"541.55","542.00","531.10","541.55","532.50","531.80","533.94","1,001.25","529.20",1253153,"66,91,12,546.55",20869
13-Aug-2025,EQ,"542.00","545.00","536.90","541.55","541.85","541.55","540.46","1,001.25","529.20",894246,"48,33,05,639.60",21911
12-Aug-2025,EQ,"545.00","548.70","540.10","545.30","541.60","541.55","543.92","1,001.25","529.20",1247870,"67,87,43,575.90",24280
11-Aug-2025,EQ,"556.55","556.55","543.15","556.65","545.00","545.30","547.42","1,001.25","529.20",1798513,"98,45,47,775.25",34455
08-Aug-2025,EQ,"554.15","564.80","551.55","553.60","553.35","556.65","559.09","1,015.10","529.20",1821561,"1,01,84,15,619.65",40999
07-Aug-2025,EQ,"550.25","556.95","529.20","554.80","554.75","553.60","542.62","1,015.10","529.20",5497402,"2,98,30,04,507.50",93945
06-Aug-2025,EQ,"583.00","583.00","553.00","578.90","553.10","554.80","559.75","1,015.10","553.00",2817013,"1,57,68,29,912.05",58471
05-Aug-2025,EQ,"579.00","583.25","575.25","581.75","580.45","578.90","579.45","1,015.10","570.60",685480,"39,72,02,170.35",20397
04-Aug-2025,EQ,"573.60","583.25","571.00","573.60","582.95","581.75","577.90","1,015.10","570.60",890380,"51,45,53,180.60",21628
01-Aug-2025,EQ,"578.15","581.95","570.60","578.20","573.00","573.60","575.72","1,059.20","570.60",1111636,"63,99,86,684.70",30094
31-Jul-2025,EQ,"578.90","584.10","576.20","585.15","577.20","578.20","580.77","1,059.20","576.20",1017629,"59,10,13,017.90",30259
30-Jul-2025,EQ,"593.00","598.85","583.45","592.05","584.10","585.15","590.51","1,059.20","583.45",1292143,"76,30,19,120.50",23261
29-Jul-2025,EQ,"587.90","593.65","586.50","590.90","592.25","592.05","591.05","1,059.20","586.50",517700,"30,59,84,524.75",15329
28-Jul-2025,EQ,"595.00","601.80","588.85","598.70","590.35","590.90","593.87","1,059.20","588.10",473659,"28,12,94,100.65",16412
25-Jul-2025,EQ,"604.00","607.75","596.05","606.05","598.05","598.70","599.92","1,059.20","588.10",759608,"45,57,01,927.70",25442
24-Jul-2025,EQ,"610.95","612.00","604.50","609.35","606.00","606.05","607.40","1,059.20","588.10",500417,"30,39,54,966.25",19765
23-Jul-2025,EQ,"609.00","611.40","603.75","607.50","609.65","609.35","607.84","1,059.20","588.10",516705,"31,40,75,825.15",17582
22-Jul-2025,EQ,"616.00","617.00","605.25","613.45","609.00","607.50","608.81","1,059.20","588.10",590163,"35,92,97,653.60",20650
21-Jul-2025,EQ,"613.25","615.60","606.10","613.25","615.60","613.45","612.39","1,059.20","588.10",486223,"29,77,57,057.90",18754
18-Jul-2025,EQ,"622.60","625.00","610.05","621.05","612.75","613.25","615.28","1,075.00","588.10",1099595,"67,65,60,011.30",44107
17-Jul-2025,EQ,"623.00","623.00","617.90","619.90","621.95","621.05","620.90","1,075.00","588.10",523413,"32,49,85,496.95",19762
16-Jul-2025,EQ,"621.00","625.00","618.25","619.80","619.20","619.90","622.02","1,075.00","588.10",1180059,"73,40,16,470.60",25293
15-Jul-2025,EQ,"616.45","623.95","614.00","615.55","620.00","619.80","618.56","1,075.00","588.10",1157630,"71,60,60,828.35",24484
14-Jul-2025,EQ,"614.25","621.45","610.65","614.95","614.80","615.55","616.04","1,075.00","588.10",880400,"54,23,61,163.65",25274
11-Jul-2025,EQ,"627.85","627.90","613.50","627.85","615.95","614.95","618.89","1,075.00","588.10",765764,"47,39,25,183.15",25592
10-Jul-2025,EQ,"618.00","629.20","615.45","615.35","627.10","627.85","624.51","1,075.00","588.10",2800958,"1,74,92,16,690.70",54133
09-Jul-2025,EQ,"598.35","616.50","594.85","598.35","615.00","615.35","610.29","1,075.00","588.10",2743583,"1,67,43,71,197.80",55742
08-Jul-2025,EQ,"593.05","601.50","588.10","597.15","598.70","598.35","595.03","1,075.00","588.10",1238893,"73,71,76,370.85",41505
07-Jul-2025,EQ,"602.00","602.45","590.05","599.65","596.95","597.15","593.73","1,075.00","590.05",1577967,"93,68,83,651.80",36742
04-Jul-2025,EQ,"597.00","606.50","595.00","745.25","598.50","599.65","599.97","1,075.00","595.00",2351859,"1,41,10,45,838.85",56786
03-Jul-2025,EQ,"748.00","753.65","743.05","744.25","746.40","745.25","746.53","1,075.00","601.25",1421722,"1,06,13,62,911.50",35946
02-Jul-2025,EQ,"748.00","752.00","737.50","745.75","745.60","744.25","743.37","1,075.00","601.25",1178924,"87,63,81,295.00",49490
01-Jul-2025,EQ,"764.00","764.90","744.00","759.80","747.30","745.75","748.77","1,075.00","601.25",1545260,"1,15,70,44,603.30",54946
30-Jun-2025,EQ,"760.15","765.45","757.25","756.35","760.95","759.80","760.96","1,075.00","601.25",1498279,"1,14,01,27,025.65",42643
27-Jun-2025,EQ,"757.45","763.90","754.20","754.20","757.00","756.35","758.78","1,081.50","601.25",1347206,"1,02,22,34,923.15",39721
26-Jun-2025,EQ,"760.40","761.95","744.95","756.15","754.00","754.20","751.70","1,081.50","601.25",1839503,"1,38,27,59,952.75",52727
25-Jun-2025,EQ,"752.00","759.10","747.40","745.25","755.30","756.15","752.96","1,081.50","601.25",1019833,"76,78,88,445.50",34361
24-Jun-2025,EQ,"746.00","755.00","742.00","735.35","745.30","745.25","748.14","1,081.50","601.25",1016110,"76,01,88,281.20",39849
23-Jun-2025,EQ,"737.90","739.95","729.25","738.25","735.10","735.35","735.92","1,081.50","601.25",967059,"71,16,77,365.50",30566
20-Jun-2025,EQ,"731.60","740.40","728.00","727.95","735.00","738.25","735.49","1,144.95","601.25",1188510,"87,41,33,651.25",41888
19-Jun-2025,EQ,"747.50","747.50","725.50","745.75","726.10","727.95","732.66","1,144.95","601.25",785289,"57,53,49,787.80",23408
18-Jun-2025,EQ,"749.00","758.00","743.95","750.75","745.90","745.75","749.64","1,144.95","601.25",463355,"34,73,49,574.70",16269
17-Jun-2025,EQ,"764.60","766.85","748.30","764.60","750.90","750.75","755.05","1,144.95","601.25",512843,"38,72,19,566.30",17506
16-Jun-2025,EQ,"759.00","767.45","750.35","761.45","765.00","764.60","761.62","1,144.95","601.25",627121,"47,76,27,175.55",20414
13-Jun-2025,EQ,"753.95","769.80","752.05","772.60","763.45","761.45","762.82","1,153.40","601.25",635981,"48,51,36,815.25",21660
12-Jun-2025,EQ,"790.95","793.20","770.15","789.45","770.95","772.60","784.32","1,153.40","601.25",1400950,"1,09,87,96,528.95",32055
11-Jun-2025,EQ,"800.05","806.90","784.50","799.95","790.00","789.45","795.00","1,153.40","601.25",758940,"60,33,59,404.80",24035
10-Jun-2025,EQ,"805.00","808.50","798.05","801.00","798.55","799.95","803.76","1,153.40","601.25",683470,"54,93,49,141.90",22231
09-Jun-2025,EQ,"810.50","813.40","798.15","809.50","800.95","801.00","802.23","1,153.40","601.25",991760,"79,56,23,111.85",28073
06-Jun-2025,EQ,"805.00","813.30","801.90","804.25","808.00","809.50","810.17","1,180.00","601.25",1495602,"1,21,16,88,621.45",38834
05-Jun-2025,EQ,"811.85","815.05","801.60","805.00","803.60","804.25","808.16","1,180.00","601.25",1890589,"1,52,79,02,065.50",37004
04-Jun-2025,EQ,"789.00","807.50","778.35","785.90","806.20","805.00","797.49","1,180.00","601.25",3078147,"2,45,47,94,571.25",54539
03-Jun-2025,EQ,"780.00","797.05","775.05","778.10","787.00","785.90","788.62","1,180.00","601.25",2238570,"1,76,53,76,476.10",50492
02-Jun-2025,EQ,"784.35","784.40","775.00","784.40","776.40","778.10","778.64","1,180.00","601.25",992423,"77,27,37,052.90",24247
30-May-2025,EQ,"786.00","790.40","774.10","785.95","778.55","784.40","783.28","1,180.00","601.25",2798789,"2,19,22,42,693.20",37507
29-May-2025,EQ,"777.85","791.00","770.10","778.10","788.00","785.95","781.43","1,180.00","601.25",3469052,"2,71,08,11,661.30",48088
28-May-2025,EQ,"771.90","783.70","762.00","768.70","772.00","778.10","773.87","1,180.00","601.25",4998392,"3,86,81,15,003.60",72617
27-May-2025,EQ,"743.50","771.45","736.85","742.40","765.50","768.70","759.14","1,180.00","601.25",5040462,"3,82,64,36,683.95",75479
26-May-2025,EQ,"724.45","745.60","722.05","720.90","742.00","742.40","735.53","1,180.00","601.25",4051660,"2,98,01,23,683.15",66952
23-May-2025,EQ,"720.00","724.35","708.20","737.95","722.00","720.90","717.72","1,180.00","601.25",4244333,"3,04,62,59,328.70",65254
22-May-2025,EQ,"732.00","739.65","724.80","731.55","739.00","737.95","734.48","1,180.00","601.25",2691881,"1,97,71,37,720.70",57161
21-May-2025,EQ,"729.00","736.45","721.00","726.95","731.60","731.55","729.31","1,180.00","601.25",1194655,"87,12,69,873.70",29271
20-May-2025,EQ,"756.50","757.90","724.05","746.95","727.85","726.95","736.34","1,180.00","601.25",2600094,"1,91,45,44,074.85",47964
19-May-2025,EQ,"737.95","756.35","726.50","730.50","746.70","746.95","743.77","1,180.00","601.25",5174486,"3,84,86,47,871.80",76391
16-May-2025,EQ,"696.70","734.00","689.55","690.25","730.50","730.50","714.31","1,180.00","601.25",10905549,"7,78,99,07,642.45",124154
15-May-2025,EQ,"692.60","698.70","687.75","687.35","689.05","690.25","691.17","1,180.00","601.25",2487695,"1,71,94,28,096.95",37032
14-May-2025,EQ,"691.05","703.45","686.30","689.40","687.75","687.35","690.16","1,180.00","601.25",2690976,"1,85,72,16,985.70",35889
13-May-2025,EQ,"688.70","701.90","688.00","688.25","690.00","689.40","694.86","1,180.00","601.25",1385367,"96,26,38,930.15",40206
12-May-2025,EQ,"670.10","690.95","668.00","648.65","690.00","688.25","679.04","1,180.00","601.25",1169913,"79,44,21,957.50",32096
09-May-2025,EQ,"645.30","659.15","645.30","657.40","652.35","648.65","650.73","1,180.00","601.25",925429,"60,22,01,887.30",25779
08-May-2025,EQ,"683.40","684.00","650.60","679.50","652.00","657.40","668.93","1,180.00","601.25",708376,"47,38,51,697.85",28719
07-May-2025,EQ,"671.00","683.90","668.20","673.85","680.15","679.50","677.01","1,180.00","601.25",496218,"33,59,43,174.85",21622
06-May-2025,EQ,"694.40","694.80","672.00","690.40","673.00","673.85","681.59","1,180.00","601.25",719336,"49,02,94,670.00",32688
05-May-2025,EQ,"685.00","695.00","682.05","680.75","690.50","690.40","689.99","1,180.00","601.25",526752,"36,34,51,256.20",19414
02-May-2025,EQ,"674.45","685.00","673.80","673.70","682.80","680.75","679.24","1,180.00","601.25",1122033,"76,21,33,470.70",31186
30-Apr-2025,EQ,"688.00","693.75","668.10","687.05","670.60","673.70","679.90","1,180.00","601.25",1678591,"1,14,12,81,486.45",48468
29-Apr-2025,EQ,"690.60","696.90","685.45","685.40","688.00","687.05","690.02","1,180.00","601.25",536001,"36,98,51,644.25",23875
28-Apr-2025,EQ,"680.00","692.55","677.50","678.75","687.50","685.40","686.48","1,180.00","601.25",825320,"56,65,69,004.20",24125
25-Apr-2025,EQ,"712.50","714.95","675.00","707.65","675.00","678.75","689.52","1,180.00","601.25",1115564,"76,92,00,436.70",39766
24-Apr-2025,EQ,"714.70","715.50","705.00","713.45","705.55","707.65","708.43","1,180.00","601.25",824182,"58,38,75,477.35",21988
23-Apr-2025,EQ,"712.00","716.50","699.20","710.10","711.45","713.45","710.07","1,180.00","601.25",914714,"64,95,09,945.20",33229
22-Apr-2025,EQ,"716.80","716.80","708.00","711.55","709.30","710.10","713.33","1,180.00","601.25",708994,"50,57,47,971.45",19785
21-Apr-2025,EQ,"701.00","716.50","699.20","699.15","711.25","711.55","710.94","1,180.00","601.25",1093697,"77,75,53,250.55",39746
